id,solver,instance,n_items,n_classes,type,objective,type1_bins,type2_bins,type3_bins,type4_bins,bins_total,time_seconds,average_fill_rate,min_fill_rate,max_fill_rate,time_to_best_seconds,iterations
7,alns_300s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2426,0,1,1,18,20,300.0,0.99,0.93,1.0,0.01,249404
8,alns_300s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2426,0,1,1,18,20,300.0,0.99,0.97,1.0,0.0,255803
9,alns_300s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2416,0,2,0,18,20,300.0,1.0,0.99,1.0,32.96,258240
10,alns_300s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2416,0,2,0,18,20,300.0,1.0,0.99,1.0,180.03,265261
1,alns_3600s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2416,0,2,0,18,20,3600.01,1.0,0.99,1.0,421.46,670683
2,alns_3600s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2416,0,2,0,18,20,3600.0,1.0,0.99,1.0,391.76,857147
3,alns_3600s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2416,0,2,0,18,20,3600.01,1.0,0.99,1.0,53.77,911470
4,alns_3600s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2416,0,2,0,18,20,3600.0,1.0,0.99,1.0,29.09,911301
5,alns_3600s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2416,0,2,0,18,20,3600.01,1.0,0.99,1.0,2332.47,928768
6,alns_3600s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2416,0,2,0,18,20,3600.0,1.0,0.99,1.0,10.38,924193
7,alns_3600s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2416,0,2,0,18,20,3600.0,1.0,0.99,1.0,281.7,930225
8,alns_3600s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2416,0,2,0,18,20,3600.0,1.0,0.99,1.0,473.18,939432
9,alns_3600s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2416,0,2,0,18,20,3600.01,1.0,0.99,1.0,31.39,932851
10,alns_3600s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2416,0,2,0,18,20,3600.01,1.0,0.99,1.0,177.31,928360
1,alns_300s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB5_R1,100,1,1,2416,0,2,0,18,20,300.0,1.0,0.99,1.0,5.19,160312
2,alns_300s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB5_R1,100,1,1,2416,0,2,0,18,20,300.0,1.0,0.99,1.0,30.33,202041
3,alns_300s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB5_R1,100,1,1,2416,0,2,0,18,20,300.0,1.0,0.99,1.0,41.02,209808
4,alns_300s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB5_R1,100,1,1,2416,0,2,0,18,20,300.0,1.0,0.99,1.0,0.21,214674
